Frequency[MHz];Amplitude RX1[mV] at pwm=100
 45.000;1401
 45.063;1787
 45.125;1833
 45.188;1923
 45.250;1823
 45.313;1857
 45.375;1870
 45.438;1853
 45.500;1879
 45.563;1838
 45.625;1892
 45.688;1865
 45.750;1904
 45.813;1896
 45.875;1884
 45.938;1914
 46.000;1872
 46.063;1911
 46.125;1887
 46.188;1896
 46.250;1896
 46.313;1889
 46.375;1975
 46.438;2011
 46.500;2026
 46.563;2080
 46.625;2050
 46.688;1992
 46.750;1914
 46.813;1909
 46.875;1821
 46.938;1901
 47.000;1867
 47.063;1860
 47.125;1882
 47.188;1838
 47.250;1899
 47.313;1818
 47.375;1884
 47.438;1857
 47.500;1865
 47.563;1914
 47.625;1887
 47.688;1921
 47.750;1894
 47.813;1950
 47.875;1931
 47.938;1918
 48.000;1948
 48.063;1928
 48.125;1982
 48.188;1916
 48.250;1953
 48.313;1921
 48.375;1931
 48.438;1960
 48.500;1870
 48.563;1933
 48.625;1870
 48.688;1931
 48.750;1931
 48.813;1875
 48.875;1901
 48.938;1853
 49.000;1921
 49.063;1853
 49.125;1894
 49.188;1882
 49.250;1879
 49.313;1914
 49.375;1835
 49.438;1892
 49.500;1833
 49.563;1887
 49.625;1879
 49.688;1862
 49.750;1887
 49.813;1855
 49.875;1916
 49.938;1887
 50.000;1936
 50.063;1938
 50.125;1909
 50.188;1914
 50.250;1870
 50.313;1911
 50.375;1867
 50.438;1896
 50.500;1909
 50.563;1875
 50.625;1894
 50.688;1831
 50.750;1894
 50.813;1860
 50.875;1884
 50.938;1889
 51.000;1882
 51.063;1906
 51.125;1843
 51.188;1901
 51.250;1862
 51.313;1901
 51.375;1921
 51.438;1882
 51.500;1933
 51.563;1853
 51.625;1916
 51.688;1870
 51.750;1889
 51.813;1899
 51.875;1877
 51.938;1909
 52.000;1843
 52.063;1901
 52.125;1875
 52.188;1901
 52.250;1936
 52.313;1877
 52.375;1916
 52.438;1845
 52.500;1931
 52.563;1906
 52.625;1921
 52.688;1950
 52.750;1896
 52.813;1955
 52.875;1860
 52.938;1938
 53.000;1926
 53.063;1940
 53.125;1972
 53.188;1887
 53.250;1967
 53.313;1877
 53.375;1967
 53.438;1960
 53.500;1945
 53.563;1977
 53.625;1931
 53.688;1992
 53.750;1938
 53.813;1962
 53.875;1955
 53.938;1936
 54.000;1975
 54.063;1926
 54.125;1979
 54.188;1938
 54.250;1972
 54.313;1958
 54.375;1926
 54.438;1958
 54.500;1887
 54.563;1955
 54.625;1877
 54.688;1936
 54.750;1921
 54.813;1914
 54.875;1936
 54.938;1867
 55.000;1921
 55.063;1882
 55.125;1926
 55.188;1928
 55.250;1901
 55.313;1916
 55.375;1857
 55.438;1896
 55.500;1857
 55.563;1877
 55.625;1877
 55.688;1865
 55.750;1896
 55.813;1848
 55.875;1872
 55.938;1855
 56.000;1882
 56.063;1882
 56.125;1862
 56.188;1875
 56.250;1850
 56.313;1889
 56.375;1853
 56.438;1870
 56.500;1875
 56.563;1853
 56.625;1882
 56.688;1840
 56.750;1875
 56.813;1845
 56.875;1870
 56.938;1887
 57.000;1857
 57.063;1884
 57.125;1860
 57.188;1882
 57.250;1896
 57.313;1896
 57.375;1857
 57.438;1884
 57.500;1887
 57.563;1857
 57.625;1833
 57.688;1813
 57.750;1870
 57.813;1875
 57.875;1821
 57.938;1823
 58.000;1818
 58.063;1826
 58.125;1855
 58.188;1784
 58.250;1804
 58.313;1862
 58.375;1843
 58.438;1721
 58.500;1809
 58.563;1813
 58.625;1826
 58.688;1809
 58.750;1787
 58.813;1840
 58.875;1791
 58.938;1772
 59.000;1806
 59.063;1801
 59.125;1765
 59.188;1809
 59.250;1765
 59.313;1730
 59.375;1791
 59.438;1743
 59.500;1755
 59.563;1791
 59.625;1735
 59.688;1765
 59.750;1684
 59.813;1735
 59.875;1789
 59.938;1772
 60.000;1755
 60.063;1977
 60.125;1960
 60.188;2048
 60.250;2045
 60.313;1977
 60.375;1979
 60.438;1894
 60.500;1777
 60.563;1816
 60.625;1730
 60.688;1801
 60.750;1794
 60.813;1826
 60.875;1879
 60.938;1801
 61.000;1865
 61.063;2048
 61.125;1867
 61.188;1796
 61.250;1867
 61.313;1882
 61.375;2062
 61.438;2055
 61.500;1879
 61.563;2175
 61.625;1972
 61.688;1967
 61.750;2092
 61.813;1855
 61.875;2011
 61.938;2128
 62.000;1979
 62.063;1955
 62.125;1899
 62.188;2028
 62.250;2187
 62.313;2197
 62.375;1953
 62.438;2031
 62.500;2006
 62.563;2106
 62.625;1884
 62.688;1921
 62.750;2082
 62.813;1916
 62.875;2099
 62.938;1765
 63.000;1972
 63.063;1918
 63.125;1894
 63.188;1711
 63.250;1982
 63.313;1870
 63.375;1955
 63.438;1794
 63.500;1726
 63.563;1962
 63.625;1826
 63.688;1726
 63.750;1921
 63.813;1755
 63.875;1748
 63.938;1809
 64.000;1689
 64.063;1699
 64.125;1862
 64.188;1762
 64.250;1738
 64.313;1760
 64.375;1733
 64.438;1818
 64.500;1726
 64.563;1699
 64.625;1838
 64.688;1750
 64.750;1669
 64.813;1784
 64.875;1701
 64.938;1679
 65.000;1713
 65.063;1696
 65.125;1748
 65.188;1716
 65.250;1728
 65.313;1723
 65.375;1726
 65.438;1711
 65.500;1767
 65.563;1765
 65.625;1706
 65.688;1774
 65.750;1687
 65.813;1813
 65.875;1748
 65.938;1770
 66.000;1804
 66.063;1782
 66.125;1855
 66.188;1794
 66.250;1855
 66.313;1872
 66.375;1850
 66.438;1862
 66.500;1901
 66.563;1943
 66.625;1970
 66.688;1970
 66.750;1909
 66.813;1914
 66.875;1901
 66.938;1826
 67.000;1840
 67.063;1804
 67.125;1843
 67.188;1853
 67.250;1826
 67.313;1845
 67.375;1828
 67.438;1862
 67.500;1828
 67.563;1843
 67.625;1835
 67.688;1848
 67.750;1870
 67.813;1899
 67.875;1921
 67.938;1933
 68.000;1950
 68.063;1938
 68.125;1909
 68.188;1894
 68.250;1862
 68.313;1879
 68.375;1860
 68.438;1853
 68.500;1848
 68.563;1853
 68.625;1857
 68.688;1826
 68.750;1835
 68.813;1813
 68.875;1835
 68.938;1818
 69.000;1816
 69.063;1811
 69.125;1801
 69.188;1816
 69.250;1782
 69.313;1782
 69.375;1745
 69.438;1748
 69.500;1757
 69.563;1699
 69.625;1711
 69.688;1677
 69.750;1706
 69.813;1691
 69.875;1660
 69.938;1655
 70.000;1638
 70.063;1669
 70.125;1647
 70.188;1638
 70.250;1645
 70.313;1628
 70.375;1625
 70.438;1582
 70.500;1577
 70.563;1547
 70.625;1577
 70.688;1560
 70.750;1535
 70.813;1552
 70.875;1523
 70.938;1555
 71.000;1518
 71.063;1525
 71.125;1513
 71.188;1511
 71.250;1525
 71.313;1474
 71.375;1496
 71.438;1484
 71.500;1499
 71.563;1501
 71.625;1474
 71.688;1513
 71.750;1506
 71.813;1545
 71.875;1533
 71.938;1518
 72.000;1518
 72.063;1508
 72.125;1511
 72.188;1484
 72.250;1513
 72.313;1511
 72.375;1503
 72.438;1494
 72.500;1455
 72.563;1428
 72.625;1457
 72.688;1481
 72.750;1506
 72.813;1528
 72.875;1506
 72.938;1516
 73.000;1508
 73.063;1464
 73.125;1464
