Frequency[MHz];Amplitude RX1[mV] at pwm=100
 45.000;988
 45.063;1149
 45.125;1064
 45.188;1035
 45.250;1032
 45.313;1035
 45.375;1022
 45.438;1035
 45.500;1032
 45.563;1035
 45.625;1035
 45.688;1042
 45.750;1052
 45.813;1042
 45.875;1052
 45.938;1047
 46.000;1049
 46.063;1049
 46.125;1047
 46.188;1059
 46.250;1044
 46.313;1049
 46.375;1047
 46.438;1042
 46.500;1052
 46.563;1054
 46.625;1057
 46.688;1044
 46.750;1044
 46.813;1042
 46.875;1035
 46.938;1044
 47.000;1049
 47.063;1052
 47.125;1042
 47.188;1047
 47.250;1042
 47.313;1037
 47.375;1040
 47.438;1035
 47.500;1044
 47.563;1049
 47.625;1049
 47.688;1035
 47.750;1052
 47.813;1047
 47.875;1037
 47.938;1057
 48.000;1049
 48.063;1049
 48.125;1047
 48.188;1037
 48.250;1042
 48.313;1040
 48.375;1049
 48.438;1044
 48.500;1042
 48.563;1044
 48.625;1040
 48.688;1047
 48.750;1037
 48.813;1044
 48.875;1040
 48.938;1040
 49.000;1047
 49.063;1047
 49.125;1044
 49.188;1044
 49.250;1049
 49.313;1047
 49.375;1047
 49.438;1035
 49.500;1040
 49.563;1047
 49.625;1047
 49.688;1044
 49.750;1052
 49.813;1049
 49.875;1049
 49.938;1064
 50.000;1052
 50.063;1044
 50.125;1049
 50.188;1042
 50.250;1042
 50.313;1054
 50.375;1052
 50.438;1037
 50.500;1054
 50.563;1049
 50.625;1049
 50.688;1052
 50.750;1054
 50.813;1042
 50.875;1062
 50.938;1047
 51.000;1049
 51.063;1047
 51.125;1057
 51.188;1057
 51.250;1062
 51.313;1052
 51.375;1047
 51.438;1052
 51.500;1054
 51.563;1054
 51.625;1054
 51.688;1064
 51.750;1059
 51.813;1049
 51.875;1049
 51.938;1052
 52.000;1049
 52.063;1057
 52.125;1062
 52.188;1054
 52.250;1054
 52.313;1052
 52.375;1054
 52.438;1049
 52.500;1066
 52.563;1074
 52.625;1064
 52.688;1057
 52.750;1059
 52.813;1052
 52.875;1052
 52.938;1069
 53.000;1057
 53.063;1059
 53.125;1069
 53.188;1054
 53.250;1049
 53.313;1057
 53.375;1052
 53.438;1054
 53.500;1059
 53.563;1081
 53.625;1069
 53.688;1096
 53.750;1198
 53.813;1369
 53.875;1601
 53.938;1909
 54.000;2019
 54.063;2087
 54.125;2058
 54.188;1999
 54.250;1953
 54.313;1757
 54.375;1520
 54.438;1247
 54.500;1069
 54.563;1044
 54.625;1040
 54.688;1037
 54.750;1044
 54.813;1044
 54.875;1052
 54.938;1047
 55.000;1044
 55.063;1032
 55.125;1035
 55.188;1057
 55.250;1145
 55.313;1188
 55.375;1208
 55.438;1159
 55.500;1140
 55.563;1091
 55.625;1044
 55.688;1040
 55.750;1047
 55.813;1049
 55.875;1037
 55.938;1037
 56.000;1047
 56.063;1049
 56.125;1049
 56.188;1054
 56.250;1052
 56.313;1052
 56.375;1052
 56.438;1054
 56.500;1052
 56.563;1049
 56.625;1052
 56.688;1062
 56.750;1076
 56.813;1064
 56.875;1054
 56.938;1054
 57.000;1052
 57.063;1054
 57.125;1062
 57.188;1064
 57.250;1064
 57.313;1076
 57.375;1069
 57.438;1062
 57.500;1059
 57.563;1059
 57.625;1057
 57.688;1064
 57.750;1059
 57.813;1049
 57.875;1054
 57.938;1054
 58.000;1052
 58.063;1052
 58.125;1062
 58.188;1071
 58.250;1064
 58.313;1062
 58.375;1052
 58.438;1049
 58.500;1049
 58.563;1052
 58.625;1054
 58.688;1057
 58.750;1047
 58.813;1044
 58.875;1059
 58.938;1044
 59.000;1057
 59.063;1069
 59.125;1054
 59.188;1049
 59.250;1049
 59.313;1047
 59.375;1066
 59.438;1152
 59.500;1359
 59.563;1545
 59.625;1582
 59.688;1650
 59.750;1660
 59.813;1604
 59.875;1469
 59.938;1174
 60.000;1074
 60.063;1054
 60.125;1057
 60.188;1037
 60.250;1042
 60.313;1054
 60.375;1040
 60.438;1044
 60.500;1049
 60.563;1044
 60.625;1044
 60.688;1042
 60.750;1037
 60.813;1044
 60.875;1040
 60.938;1030
 61.000;1042
 61.063;1042
 61.125;1037
 61.188;1042
 61.250;1049
 61.313;1047
 61.375;1049
 61.438;1047
 61.500;1052
 61.563;1044
 61.625;1044
 61.688;1047
 61.750;1054
 61.813;1054
 61.875;1059
 61.938;1047
 62.000;1052
 62.063;1049
 62.125;1044
 62.188;1059
 62.250;1057
 62.313;1054
 62.375;1062
 62.438;1057
 62.500;1066
 62.563;1047
 62.625;1059
 62.688;1062
 62.750;1059
 62.813;1062
 62.875;1064
 62.938;1047
 63.000;1054
 63.063;1054
 63.125;1064
 63.188;1064
 63.250;1052
 63.313;1057
 63.375;1054
 63.438;1049
 63.500;1062
 63.563;1069
 63.625;1064
 63.688;1062
 63.750;1062
 63.813;1049
 63.875;1057
 63.938;1054
 64.000;1057
 64.063;1052
 64.125;1057
 64.188;1057
 64.250;1054
 64.313;1054
 64.375;1049
 64.438;1042
 64.500;1057
 64.563;1059
 64.625;1062
 64.688;1059
 64.750;1059
 64.813;1049
 64.875;1066
 64.938;1059
 65.000;1064
 65.063;1052
 65.125;1054
 65.188;1054
 65.250;1054
 65.313;1054
 65.375;1049
 65.438;1054
 65.500;1049
 65.563;1057
 65.625;1052
 65.688;1049
 65.750;1044
 65.813;1049
 65.875;1057
 65.938;1054
 66.000;1042
 66.063;1044
 66.125;1054
 66.188;1042
 66.250;1054
 66.313;1145
 66.375;1179
 66.438;1225
 66.500;1166
 66.563;1147
 66.625;1091
 66.688;1074
 66.750;1064
 66.813;1064
 66.875;1054
