Frequency[MHz];Amplitude RX1[mV] at pwm=201
 45.000;1181
 45.063;1242
 45.125;1271
 45.188;1352
 45.250;1298
 45.313;1210
 45.375;1218
 45.438;1225
 45.500;1218
 45.563;1213
 45.625;1228
 45.688;1223
 45.750;1225
 45.813;1215
 45.875;1245
 45.938;1223
 46.000;1210
 46.063;1208
 46.125;1206
 46.188;1220
 46.250;1232
 46.313;1220
 46.375;1220
 46.438;1215
 46.500;1223
 46.563;1198
 46.625;1213
 46.688;1208
 46.750;1218
 46.813;1210
 46.875;1193
 46.938;1215
 47.000;1225
 47.063;1220
 47.125;1215
 47.188;1237
 47.250;1232
 47.313;1264
 47.375;1225
 47.438;1230
 47.500;1254
 47.563;1250
 47.625;1252
 47.688;1237
 47.750;1252
 47.813;1237
 47.875;1232
 47.938;1235
 48.000;1242
 48.063;1215
 48.125;1240
 48.188;1262
 48.250;1252
 48.313;1242
 48.375;1271
 48.438;1225
 48.500;1254
 48.563;1254
 48.625;1247
 48.688;1242
 48.750;1247
 48.813;1271
 48.875;1230
 48.938;1279
 49.000;1237
 49.063;1271
 49.125;1232
 49.188;1230
 49.250;1240
 49.313;1232
 49.375;1232
 49.438;1240
 49.500;1235
 49.563;1232
 49.625;1252
 49.688;1269
 49.750;1247
 49.813;1257
 49.875;1262
 49.938;1298
 50.000;1306
 50.063;1291
 50.125;1330
 50.188;1281
 50.250;1323
 50.313;1271
 50.375;1293
 50.438;1291
 50.500;1252
 50.563;1281
 50.625;1267
 50.688;1257
 50.750;1274
 50.813;1328
 50.875;1330
 50.938;1293
 51.000;1367
 51.063;1330
 51.125;1433
 51.188;1352
 51.250;1381
 51.313;1396
 51.375;1374
 51.438;1433
 51.500;1357
 51.563;1364
 51.625;1308
 51.688;1303
 51.750;1286
 51.813;1252
 51.875;1271
 51.938;1262
 52.000;1276
 52.063;1271
 52.125;1276
 52.188;1303
 52.250;1308
 52.313;1340
 52.375;1311
 52.438;1333
 52.500;1333
 52.563;1328
 52.625;1333
 52.688;1303
 52.750;1296
 52.813;1271
 52.875;1247
 52.938;1245
 53.000;1240
 53.063;1225
 53.125;1228
 53.188;1267
 53.250;1259
 53.313;1281
 53.375;1306
 53.438;1323
 53.500;1398
 53.563;1367
 53.625;1384
 53.688;1381
 53.750;1381
 53.813;1345
 53.875;1298
 53.938;1330
 54.000;1291
 54.063;1313
 54.125;1271
 54.188;1303
 54.250;1296
 54.313;1289
 54.375;1296
 54.438;1267
 54.500;1289
 54.563;1267
 54.625;1284
 54.688;1279
 54.750;1284
 54.813;1303
 54.875;1267
 54.938;1296
 55.000;1286
 55.063;1286
 55.125;1308
 55.188;1306
 55.250;1281
 55.313;1413
 55.375;1357
 55.438;1293
 55.500;1289
 55.563;1284
 55.625;1311
 55.688;1308
 55.750;1303
 55.813;1291
 55.875;1286
 55.938;1276
 56.000;1284
 56.063;1259
 56.125;1257
 56.188;1252
 56.250;1250
 56.313;1259
 56.375;1286
 56.438;1313
 56.500;1315
 56.563;1325
 56.625;1340
 56.688;1313
 56.750;1315
 56.813;1342
 56.875;1354
 56.938;1315
