Frequency[MHz];Amplitude RX1[mV] at pwm=60
 45.000;1271
 45.063;1669
 45.125;1989
 45.188;1872
 45.250;1894
 45.313;1962
 45.375;1752
 45.438;1726
 45.500;1669
 45.563;1669
 45.625;1679
 45.688;1691
 45.750;1796
 45.813;1896
 45.875;1987
 45.938;2011
 46.000;2060
 46.063;2041
 46.125;2009
 46.188;1938
 46.250;1840
 46.313;1779
 46.375;1730
 46.438;1694
 46.500;1694
 46.563;1672
 46.625;1677
 46.688;1687
 46.750;1684
 46.813;1677
 46.875;1704
 46.938;1818
 47.000;1989
 47.063;2048
 47.125;2104
 47.188;2141
 47.250;2124
 47.313;2084
 47.375;2053
 47.438;1877
 47.500;1774
 47.563;1752
 47.625;1772
 47.688;1789
 47.750;1816
 47.813;1816
 47.875;1833
 47.938;1862
 48.000;1875
 48.063;1901
 48.125;1892
 48.188;1909
 48.250;1916
 48.313;1933
 48.375;1896
 48.438;1938
 48.500;1879
 48.563;1867
 48.625;1862
 48.688;1845
 48.750;1833
 48.813;1887
 48.875;1914
 48.938;1940
 49.000;1945
 49.063;1970
 49.125;1979
 49.188;1970
 49.250;1972
 49.313;2001
 49.375;2021
 49.438;2014
 49.500;1997
 49.563;2006
 49.625;1997
 49.688;1992
 49.750;2026
 49.813;1999
 49.875;2011
 49.938;2009
 50.000;2014
 50.063;2016
 50.125;2016
 50.188;2004
 50.250;2016
 50.313;2026
 50.375;2009
 50.438;2038
 50.500;2043
 50.563;2041
 50.625;2060
 50.688;2041
 50.750;2033
 50.813;2058
 50.875;2050
 50.938;2038
 51.000;2021
 51.063;2011
 51.125;2021
 51.188;1999
 51.250;1994
 51.313;2006
 51.375;2006
 51.438;1992
 51.500;1992
 51.563;1960
 51.625;1979
 51.688;1970
 51.750;1987
 51.813;1997
 51.875;1994
 51.938;1975
 52.000;1965
 52.063;1967
 52.125;1958
 52.188;1950
 52.250;1962
 52.313;1972
 52.375;1972
 52.438;1970
 52.500;1979
 52.563;1962
 52.625;1972
 52.688;1960
 52.750;1950
 52.813;1948
 52.875;1982
 52.938;1970
 53.000;1962
 53.063;1933
 53.125;1943
 53.188;1979
 53.250;1975
 53.313;1967
 53.375;1965
 53.438;1962
 53.500;1955
 53.563;1933
 53.625;1945
 53.688;1916
 53.750;1955
 53.813;1958
 53.875;1960
 53.938;1982
 54.000;1962
 54.063;1960
 54.125;1965
 54.188;1979
 54.250;1975
 54.313;1975
 54.375;1928
 54.438;1955
 54.500;1965
 54.563;1984
 54.625;1984
 54.688;1992
 54.750;2004
 54.813;2043
 54.875;2109
 54.938;2153
 55.000;2194
 55.063;2246
 55.125;2275
 55.188;2260
 55.250;2268
 55.313;2263
 55.375;2233
 55.438;2209
 55.500;2165
 55.563;2033
 55.625;2004
 55.688;2009
 55.750;1948
 55.813;1901
 55.875;1906
 55.938;1906
 56.000;1850
 56.063;1875
 56.125;1889
 56.188;1848
 56.250;1806
 56.313;1909
 56.375;1950
 56.438;1938
 56.500;1857
 56.563;1833
 56.625;1843
 56.688;1853
 56.750;1892
 56.813;1909
 56.875;1918
 56.938;1884
 57.000;1894
 57.063;1879
 57.125;1892
 57.188;1875
 57.250;1943
 57.313;1955
 57.375;2011
 57.438;2055
 57.500;2060
 57.563;2041
 57.625;2021
 57.688;1979
 57.750;1940
 57.813;1909
 57.875;1911
 57.938;1892
 58.000;1906
 58.063;1877
 58.125;1921
 58.188;1906
 58.250;1909
 58.313;1892
 58.375;1855
 58.438;1804
 58.500;1826
 58.563;1760
 58.625;1794
 58.688;1782
 58.750;1787
 58.813;1774
 58.875;1791
 58.938;1787
 59.000;1774
 59.063;1752
 59.125;1787
 59.188;1796
 59.250;1794
 59.313;1777
 59.375;1826
 59.438;2011
 59.500;2241
 59.563;2343
 59.625;2351
 59.688;2353
 59.750;2351
 59.813;2346
 59.875;2287
 59.938;2099
 60.000;1875
 60.063;1735
 60.125;1730
 60.188;1704
 60.250;1728
 60.313;1728
 60.375;1730
 60.438;1669
 60.500;1699
 60.563;1652
 60.625;1696
 60.688;1699
 60.750;1699
 60.813;1694
 60.875;1708
 60.938;1740
 61.000;1806
 61.063;1826
 61.125;1784
 61.188;1777
 61.250;1789
 61.313;1772
 61.375;1770
 61.438;1777
 61.500;1757
 61.563;1774
 61.625;1762
 61.688;1865
 61.750;1889
 61.813;1950
 61.875;1914
 61.938;1884
 62.000;1831
 62.063;1767
 62.125;1684
 62.188;1748
 62.250;1630
 62.313;1713
 62.375;1840
 62.438;1823
 62.500;1635
 62.563;1669
 62.625;1647
 62.688;1645
 62.750;1640
 62.813;1625
 62.875;1674
 62.938;1591
 63.000;1616
 63.063;1599
 63.125;1677
 63.188;1611
 63.250;1630
 63.313;1618
 63.375;1660
 63.438;1679
 63.500;1689
 63.563;1728
 63.625;1755
 63.688;1787
 63.750;1855
 63.813;1860
 63.875;1892
 63.938;1916
 64.000;1943
 64.063;1962
 64.125;2028
 64.188;2075
 64.250;2124
 64.313;2067
 64.375;2055
 64.438;1992
 64.500;1901
 64.563;1860
 64.625;1867
 64.688;1911
 64.750;1877
 64.813;1860
 64.875;1848
 64.938;1872
 65.000;1821
 65.063;1794
 65.125;1804
 65.188;1811
 65.250;1806
 65.313;1794
 65.375;1787
 65.438;1772
 65.500;1765
 65.563;1772
 65.625;1779
 65.688;1796
 65.750;1796
 65.813;1811
 65.875;1823
 65.938;1804
 66.000;1806
 66.063;1791
 66.125;1794
 66.188;1806
 66.250;1804
 66.313;1804
 66.375;1809
 66.438;1779
 66.500;1787
 66.563;1809
 66.625;1801
 66.688;1799
 66.750;1799
 66.813;1811
 66.875;1850
 66.938;1906
 67.000;1955
 67.063;1916
 67.125;1916
 67.188;1889
 67.250;1850
 67.313;1831
 67.375;1818
 67.438;1870
 67.500;1821
 67.563;1816
 67.625;1813
 67.688;1823
 67.750;1806
 67.813;1806
 67.875;1809
 67.938;1784
 68.000;1801
 68.063;1809
 68.125;1801
 68.188;1799
 68.250;1804
 68.313;1784
 68.375;1806
 68.438;1809
 68.500;1835
 68.563;1870
 68.625;1870
 68.688;1901
 68.750;1911
 68.813;1909
 68.875;1911
 68.938;1928
 69.000;1887
 69.063;1953
 69.125;1970
 69.188;1987
 69.250;1945
 69.313;1977
 69.375;1943
 69.438;1987
 69.500;2031
 69.563;1984
 69.625;1987
 69.688;1975
 69.750;1979
 69.813;1994
 69.875;2014
 69.938;1958
 70.000;1970
 70.063;2019
 70.125;2019
 70.188;1987
 70.250;1999
 70.313;1982
 70.375;2004
 70.438;1965
 70.500;1970
 70.563;1989
 70.625;2006
 70.688;2023
 70.750;1989
 70.813;2009
 70.875;2006
 70.938;2026
 71.000;2001
 71.063;2053
 71.125;2221
 71.188;2268
 71.250;2272
 71.313;2253
 71.375;2248
 71.438;2104
 71.500;2043
 71.563;2031
 71.625;2014
 71.688;2028
 71.750;2011
 71.813;2006
 71.875;2026
 71.938;1987
 72.000;2009
 72.063;2014
 72.125;1994
 72.188;2031
 72.250;2036
 72.313;2045
 72.375;2033
 72.438;2026
 72.500;2031
 72.563;2036
 72.625;1989
 72.688;2004
 72.750;1984
 72.813;2033
 72.875;2038
 72.938;2021
 73.000;2050
 73.063;2043
 73.125;2055
 73.188;2033
 73.250;2036
 73.313;2026
 73.375;2043
 73.438;2016
 73.500;2099
 73.563;2185
 73.625;2189
 73.688;2155
 73.750;2145
 73.813;2109
 73.875;2036
 73.938;2031
 74.000;1904
 74.063;1938
 74.125;1962
 74.188;1953
 74.250;2004
 74.313;2141
 74.375;2177
 74.438;2187
 74.500;2182
 74.563;2136
 74.625;2058
 74.688;2001
 74.750;1984
 74.813;1975
 74.875;1975
 74.938;2006
 75.000;2097
 75.063;2207
 75.125;2224
 75.188;2180
 75.250;2172
 75.313;2111
 75.375;1987
 75.438;1979
 75.500;1950
 75.563;1960
 75.625;1953
 75.688;1967
 75.750;1948
 75.813;1948
 75.875;1950
 75.938;1943
 76.000;1936
 76.063;1926
 76.125;1918
 76.188;1936
 76.250;1928
 76.313;1918
 76.375;1921
 76.438;1921
 76.500;1899
 76.563;1918
 76.625;1948
 76.688;2033
 76.750;2111
 76.813;2202
 76.875;2182
 76.938;2128
 77.000;2033
 77.063;1953
 77.125;1887
 77.188;1870
 77.250;1872
 77.313;1870
 77.375;1887
 77.438;1853
 77.500;1867
 77.563;1843
 77.625;1879
 77.688;1855
 77.750;1870
 77.813;1853
 77.875;1875
 77.938;1875
 78.000;1872
 78.063;1848
 78.125;1850
 78.188;1875
 78.250;1892
 78.313;2070
 78.375;2167
 78.438;2180
 78.500;2128
 78.563;2094
 78.625;1984
 78.688;1867
 78.750;1816
 78.813;1801
 78.875;1796
 78.938;1757
 79.000;1791
 79.063;1789
 79.125;1799
 79.188;1806
 79.250;1811
 79.313;1884
 79.375;2111
 79.438;2290
 79.500;2331
 79.563;2341
 79.625;2326
 79.688;2316
 79.750;2214
 79.813;1997
 79.875;1826
 79.938;1767
 80.000;1767
 80.063;1701
 80.125;1723
 80.188;1711
 80.250;1682
 80.313;1699
 80.375;1674
 80.438;1657
 80.500;1650
 80.563;1696
 80.625;1682
 80.688;1662
 80.750;1682
 80.813;1823
 80.875;1857
 80.938;1745
 81.000;1704
 81.063;1738
 81.125;1757
 81.188;1735
 81.250;1738
 81.313;1733
 81.375;1723
 81.438;1694
 81.500;1687
 81.563;1699
 81.625;1726
 81.688;1752
 81.750;1735
 81.813;1755
 81.875;1745
 81.938;1787
 82.000;1760
 82.063;1752
 82.125;1740
 82.188;1728
 82.250;1696
 82.313;1699
 82.375;1726
 82.438;1745
 82.500;1748
 82.563;1713
 82.625;1713
 82.688;1716
 82.750;1721
 82.813;1711
 82.875;1684
 82.938;1657
 83.000;1647
 83.063;1625
 83.125;1618
 83.188;1604
 83.250;1630
 83.313;1643
 83.375;1655
 83.438;1662
 83.500;1716
 83.563;1733
 83.625;1755
 83.688;1791
 83.750;1799
 83.813;1796
 83.875;1896
 83.938;2172
 84.000;2316
 84.063;2348
 84.125;2351
 84.188;2351
 84.250;2348
 84.313;2333
 84.375;2202
 84.438;1960
 84.500;1821
 84.563;1750
 84.625;1772
 84.688;1760
 84.750;1726
 84.813;1740
 84.875;1755
 84.938;1718
 85.000;1672
 85.063;1669
 85.125;1672
 85.188;1650
 85.250;1618
 85.313;1643
 85.375;1687
 85.438;1677
 85.500;1757
 85.563;1706
 85.625;1662
 85.688;1662
 85.750;1677
 85.813;1672
 85.875;1669
 85.938;1645
 86.000;1660
 86.063;1669
 86.125;1677
 86.188;1677
 86.250;1672
 86.313;1696
 86.375;1667
 86.438;1665
 86.500;1677
 86.563;1674
 86.625;1682
 86.688;1691
 86.750;1750
 86.813;1796
 86.875;1816
 86.938;1721
 87.000;1674
 87.063;1640
 87.125;1621
 87.188;1516
 87.250;1479
 87.313;1423
