Frequency[MHz];Amplitude RX1[mV] at pwm=100
 45.000;1257
 45.063;1333
 45.125;1291
 45.188;1271
 45.250;1279
 45.313;1279
 45.375;1298
 45.438;1364
 45.500;1557
 45.563;1557
 45.625;1586
 45.688;1672
 45.750;1660
 45.813;1745
 45.875;1787
 45.938;1811
 46.000;1784
 46.063;1745
 46.125;1708
 46.188;1682
 46.250;1689
 46.313;1723
 46.375;1699
 46.438;1699
 46.500;1740
 46.563;1687
 46.625;1711
 46.688;1723
 46.750;1713
 46.813;1721
 46.875;1691
 46.938;1699
 47.000;1713
 47.063;1704
 47.125;1711
 47.188;1738
 47.250;1701
 47.313;1726
 47.375;1752
 47.438;1728
 47.500;1733
 47.563;1752
 47.625;1718
 47.688;1770
 47.750;1752
 47.813;1840
 47.875;1923
 47.938;1926
 48.000;1867
 48.063;1835
 48.125;1804
 48.188;1770
 48.250;1757
 48.313;1735
 48.375;1755
 48.438;1762
 48.500;1767
 48.563;1770
 48.625;1760
 48.688;1740
 48.750;1777
 48.813;1735
 48.875;1733
 48.938;1762
 49.000;1730
 49.063;1738
 49.125;1743
 49.188;1723
 49.250;1735
 49.313;1723
 49.375;1735
 49.438;1752
 49.500;1750
 49.563;1757
 49.625;1757
 49.688;1745
 49.750;1735
 49.813;1752
 49.875;1726
 49.938;1730
 50.000;1762
 50.063;1733
 50.125;1713
 50.188;1718
 50.250;1704
 50.313;1708
 50.375;1701
 50.438;1701
 50.500;1704
 50.563;1708
 50.625;1708
 50.688;1701
 50.750;1691
 50.813;1687
 50.875;1696
 50.938;1689
 51.000;1704
 51.063;1694
 51.125;1706
 51.188;1706
 51.250;1730
 51.313;1723
 51.375;1733
 51.438;1726
 51.500;1743
 51.563;1762
 51.625;1762
 51.688;1755
 51.750;1787
 51.813;1740
 51.875;1762
 51.938;1816
 52.000;1838
 52.063;1901
 52.125;1884
 52.188;1823
 52.250;1806
 52.313;1757
 52.375;1730
 52.438;1713
 52.500;1708
 52.563;1713
 52.625;1750
 52.688;1721
 52.750;1723
 52.813;1752
 52.875;1713
 52.938;1721
 53.000;1748
 53.063;1740
 53.125;1723
 53.188;1721
 53.250;1701
 53.313;1726
 53.375;1699
 53.438;1699
 53.500;1691
 53.563;1679
 53.625;1677
 53.688;1706
 53.750;1701
 53.813;1711
 53.875;1726
 53.938;1691
 54.000;1728
 54.063;1762
 54.125;1811
 54.188;1860
 54.250;1796
 54.313;1767
 54.375;1733
 54.438;1699
 54.500;1684
 54.563;1691
 54.625;1669
 54.688;1684
 54.750;1684
 54.813;1682
 54.875;1689
 54.938;1679
 55.000;1665
 55.063;1687
 55.125;1689
 55.188;1699
 55.250;1682
 55.313;1677
 55.375;1669
 55.438;1674
 55.500;1647
 55.563;1655
 55.625;1640
 55.688;1635
 55.750;1638
 55.813;1638
 55.875;1640
 55.938;1674
 56.000;1716
 56.063;1765
 56.125;1755
 56.188;1745
 56.250;1782
 56.313;1767
 56.375;1713
 56.438;1672
 56.500;1628
 56.563;1621
 56.625;1621
 56.688;1616
 56.750;1613
 56.813;1601
 56.875;1613
 56.938;1616
 57.000;1606
 57.063;1608
 57.125;1613
 57.188;1647
 57.250;1657
 57.313;1645
 57.375;1628
 57.438;1643
 57.500;1618
 57.563;1621
 57.625;1608
 57.688;1611
 57.750;1594
 57.813;1599
 57.875;1596
 57.938;1599
 58.000;1621
 58.063;1611
 58.125;1621
 58.188;1677
 58.250;1777
 58.313;1833
 58.375;1865
 58.438;1833
 58.500;1757
 58.563;1665
 58.625;1608
 58.688;1604
 58.750;1591
 58.813;1582
 58.875;1577
 58.938;1562
 59.000;1579
 59.063;1569
 59.125;1569
 59.188;1577
 59.250;1613
 59.313;1662
 59.375;1655
 59.438;1608
 59.500;1591
 59.563;1586
 59.625;1562
 59.688;1555
 59.750;1550
 59.813;1550
 59.875;1525
 59.938;1525
 60.000;1540
 60.063;1525
 60.125;1533
 60.188;1552
 60.250;1604
 60.313;1694
 60.375;1762
 60.438;1784
 60.500;1784
 60.563;1750
 60.625;1623
 60.688;1596
 60.750;1552
 60.813;1564
 60.875;1594
 60.938;1564
 61.000;1584
 61.063;1604
 61.125;1599
 61.188;1606
 61.250;1611
 61.313;1608
 61.375;1662
 61.438;1662
 61.500;1647
 61.563;1633
 61.625;1628
 61.688;1616
 61.750;1628
 61.813;1599
 61.875;1623
 61.938;1599
 62.000;1591
 62.063;1577
 62.125;1584
 62.188;1577
 62.250;1584
 62.313;1586
 62.375;1594
 62.438;1630
 62.500;1635
 62.563;1621
 62.625;1643
 62.688;1599
 62.750;1572
 62.813;1596
 62.875;1574
 62.938;1591
 63.000;1594
 63.063;1589
 63.125;1584
 63.188;1596
 63.250;1582
 63.313;1604
 63.375;1596
 63.438;1604
 63.500;1662
 63.563;1655
 63.625;1616
 63.688;1635
 63.750;1604
 63.813;1599
 63.875;1623
 63.938;1625
 64.000;1711
 64.063;1716
 64.125;1704
 64.188;1696
 64.250;1655
 64.313;1643
 64.375;1672
 64.438;1655
 64.500;1672
 64.563;1799
 64.625;1723
 64.688;1723
 64.750;1772
 64.813;1640
 64.875;1645
 64.938;1657
 65.000;1638
 65.063;1652
 65.125;1655
 65.188;1633
 65.250;1667
 65.313;1643
 65.375;1643
 65.438;1679
 65.500;1640
 65.563;1674
 65.625;1767
 65.688;1689
 65.750;1684
 65.813;1694
 65.875;1650
 65.938;1672
 66.000;1665
 66.063;1652
 66.125;1679
 66.188;1662
 66.250;1662
 66.313;1689
 66.375;1657
 66.438;1679
 66.500;1733
 66.563;1674
 66.625;1735
 66.688;1791
 66.750;1716
 66.813;1738
 66.875;1696
 66.938;1669
 67.000;1682
 67.063;1647
 67.125;1684
 67.188;1699
 67.250;1665
 67.313;1677
 67.375;1696
 67.438;1665
 67.500;1679
 67.563;1701
 67.625;1696
 67.688;1723
 67.750;1757
 67.813;1711
 67.875;1708
 67.938;1708
 68.000;1691
 68.063;1716
 68.125;1694
 68.188;1711
 68.250;1730
 68.313;1706
 68.375;1716
 68.438;1735
 68.500;1726
 68.563;1745
 68.625;1796
 68.688;1799
 68.750;1838
 68.813;1838
 68.875;1804
 68.938;1794
 69.000;1762
 69.063;1748
 69.125;1767
 69.188;1748
 69.250;1762
 69.313;1772
 69.375;1745
 69.438;1748
 69.500;1772
 69.563;1752
 69.625;1779
 69.688;1791
 69.750;1806
 69.813;1835
 69.875;1816
 69.938;1784
 70.000;1794
 70.063;1772
 70.125;1760
 70.188;1774
 70.250;1755
 70.313;1765
 70.375;1765
 70.438;1760
 70.500;1755
 70.563;1767
 70.625;1752
 70.688;1806
 70.750;1828
 70.813;1806
 70.875;1816
 70.938;1811
 71.000;1782
 71.063;1770
 71.125;1745
 71.188;1728
 71.250;1730
 71.313;1716
 71.375;1713
 71.438;1716
 71.500;1699
 71.563;1706
 71.625;1704
 71.688;1699
 71.750;1718
 71.813;1718
 71.875;1708
 71.938;1721
 72.000;1701
 72.063;1677
 72.125;1684
 72.188;1647
 72.250;1660
 72.313;1645
 72.375;1635
 72.438;1647
 72.500;1633
 72.563;1628
 72.625;1638
 72.688;1616
 72.750;1633
 72.813;1674
 72.875;1687
 72.938;1640
 73.000;1652
 73.063;1633
 73.125;1625
 73.188;1604
 73.250;1582
 73.313;1604
 73.375;1594
 73.438;1589
 73.500;1586
 73.563;1594
 73.625;1582
 73.688;1601
 73.750;1589
 73.813;1591
 73.875;1608
 73.938;1604
 74.000;1608
 74.063;1601
 74.125;1579
 74.188;1574
 74.250;1557
 74.313;1550
 74.375;1579
 74.438;1555
 74.500;1552
 74.563;1572
 74.625;1560
 74.688;1545
 74.750;1555
 74.813;1547
 74.875;1550
 74.938;1547
 75.000;1547
 75.063;1542
 75.125;1540
 75.188;1525
 75.250;1533
 75.313;1545
 75.375;1567
 75.438;1574
 75.500;1545
 75.563;1550
 75.625;1557
 75.688;1542
 75.750;1557
 75.813;1562
 75.875;1572
 75.938;1628
 76.000;1625
 76.063;1662
 76.125;1660
 76.188;1635
 76.250;1594
 76.313;1589
 76.375;1569
 76.438;1584
 76.500;1589
 76.563;1562
 76.625;1579
 76.688;1582
 76.750;1569
 76.813;1601
 76.875;1589
 76.938;1616
 77.000;1689
 77.063;1665
 77.125;1652
 77.188;1652
 77.250;1611
 77.313;1596
 77.375;1599
 77.438;1577
 77.500;1596
 77.563;1579
 77.625;1572
 77.688;1586
 77.750;1574
 77.813;1577
 77.875;1582
 77.938;1596
 78.000;1621
 78.063;1662
 78.125;1635
 78.188;1662
 78.250;1650
 78.313;1611
 78.375;1601
 78.438;1606
 78.500;1584
 78.563;1591
 78.625;1589
 78.688;1567
 78.750;1579
 78.813;1584
 78.875;1591
 78.938;1594
 79.000;1584
 79.063;1616
 79.125;1655
 79.188;1601
 79.250;1608
 79.313;1608
 79.375;1584
 79.438;1594
 79.500;1574
 79.563;1574
 79.625;1584
 79.688;1574
 79.750;1577
 79.813;1579
 79.875;1572
 79.938;1608
 80.000;1638
 80.063;1672
 80.125;1667
 80.188;1633
 80.250;1618
 80.313;1599
 80.375;1591
 80.438;1579
 80.500;1577
 80.563;1579
 80.625;1574
 80.688;1572
