Frequency[MHz];Amplitude RX1[mV] at pwm=120
 45.000;1494
 45.063;1503
 45.125;1564
 45.188;1403
 45.250;1516
 45.313;1542
 45.375;1550
 45.438;1550
 45.500;1479
 45.563;1538
 45.625;1528
 45.688;1481
 45.750;1567
 45.813;1579
 45.875;1542
 45.938;1562
 46.000;1506
 46.063;1450
 46.125;1486
 46.188;1423
 46.250;1457
 46.313;1462
 46.375;1394
 46.438;1462
 46.500;1474
 46.563;1386
 46.625;1474
 46.688;1496
 46.750;1506
 46.813;1574
 46.875;1542
 46.938;1501
 47.000;1484
 47.063;1430
 47.125;1447
 47.188;1455
 47.250;1416
 47.313;1457
 47.375;1425
 47.438;1396
 47.500;1445
 47.563;1450
 47.625;1435
 47.688;1511
 47.750;1538
 47.813;1511
 47.875;1513
 47.938;1469
 48.000;1479
 48.063;1462
 48.125;1428
 48.188;1462
 48.250;1452
 48.313;1389
 48.375;1464
 48.438;1445
 48.500;1450
 48.563;1489
 48.625;1464
 48.688;1462
 48.750;1459
 48.813;1440
 48.875;1457
 48.938;1430
 49.000;1435
 49.063;1496
 49.125;1467
 49.188;1484
 49.250;1506
 49.313;1479
 49.375;1479
 49.438;1472
 49.500;1462
 49.563;1496
 49.625;1506
 49.688;1513
 49.750;1516
 49.813;1499
 49.875;1496
 49.938;1506
 50.000;1499
 50.063;1472
 50.125;1477
 50.188;1481
 50.250;1459
 50.313;1496
 50.375;1508
 50.438;1491
 50.500;1552
 50.563;1525
 50.625;1538
 50.688;1538
 50.750;1506
 50.813;1489
 50.875;1506
 50.938;1474
 51.000;1499
 51.063;1557
 51.125;1538
 51.188;1584
 51.250;1594
 51.313;1557
 51.375;1564
 51.438;1560
 51.500;1513
 51.563;1530
 51.625;1484
 51.688;1496
 51.750;1535
 51.813;1513
 51.875;1538
 51.938;1552
 52.000;1494
 52.063;1489
 52.125;1491
 52.188;1420
 52.250;1442
 52.313;1423
 52.375;1435
 52.438;1462
 52.500;1425
 52.563;1464
 52.625;1484
 52.688;1455
 52.750;1464
 52.813;1469
 52.875;1420
 52.938;1440
 53.000;1440
 53.063;1411
 53.125;1413
 53.188;1408
 53.250;1406
 53.313;1416
 53.375;1396
 53.438;1413
 53.500;1420
 53.563;1401
 53.625;1433
 53.688;1423
 53.750;1396
 53.813;1398
 53.875;1386
 53.938;1376
 54.000;1396
 54.063;1384
 54.125;1396
 54.188;1401
 54.250;1401
 54.313;1391
 54.375;1376
 54.438;1367
 54.500;1381
 54.563;1391
 54.625;1357
 54.688;1376
 54.750;1386
 54.813;1389
 54.875;1401
 54.938;1398
 55.000;1391
 55.063;1384
 55.125;1401
 55.188;1398
 55.250;1413
 55.313;1428
 55.375;1447
 55.438;1408
 55.500;1391
 55.563;1374
 55.625;1357
 55.688;1347
 55.750;1372
 55.813;1369
 55.875;1381
 55.938;1396
 56.000;1386
 56.063;1416
 56.125;1420
 56.188;1408
 56.250;1406
 56.313;1381
 56.375;1362
 56.438;1389
 56.500;1413
 56.563;1413
 56.625;1459
 56.688;1464
 56.750;1501
 56.813;1523
 56.875;1489
 56.938;1447
 57.000;1418
 57.063;1376
 57.125;1413
 57.188;1411
 57.250;1381
 57.313;1398
 57.375;1396
 57.438;1394
 57.500;1435
 57.563;1442
 57.625;1433
 57.688;1413
 57.750;1391
 57.813;1372
 57.875;1376
 57.938;1364
 58.000;1357
 58.063;1369
