Frequency[MHz];Amplitude RX1[mV] at pwm=120
 45.000;1198
 45.063;1662
 45.125;1643
 45.188;1577
 45.250;1477
 45.313;1511
 45.375;1289
 45.438;1525
 45.500;1479
 45.563;1525
 45.625;1525
 45.688;1511
 45.750;1562
 45.813;1894
 45.875;1982
 45.938;1437
 46.000;1350
 46.063;1342
 46.125;1350
 46.188;1330
 46.250;1525
 46.313;1350
 46.375;1323
 46.438;1303
 46.500;1301
 46.563;1340
 46.625;1345
 46.688;1511
 46.750;1345
 46.813;1408
 46.875;1447
 46.938;1396
 47.000;1381
 47.063;1462
 47.125;1433
 47.188;1411
 47.250;1350
 47.313;1333
 47.375;1330
 47.438;1403
 47.500;1574
 47.563;1755
 47.625;1789
 47.688;1872
 47.750;1928
 47.813;1901
 47.875;1779
 47.938;1472
 48.000;1362
 48.063;1347
 48.125;1347
 48.188;1318
 48.250;1347
 48.313;1386
 48.375;1386
 48.438;1396
 48.500;1374
 48.563;1354
 48.625;1354
 48.688;1357
 48.750;1335
 48.813;1330
 48.875;1342
 48.938;1406
 49.000;1472
 49.063;1364
 49.125;1367
 49.188;1379
 49.250;1384
 49.313;1374
 49.375;1372
 49.438;1430
 49.500;1459
 49.563;1445
 49.625;1477
 49.688;1462
 49.750;1433
 49.813;1408
 49.875;1381
 49.938;1362
 50.000;1333
 50.063;1347
 50.125;1372
 50.188;1813
 50.250;1901
 50.313;1813
 50.375;1538
 50.438;1445
 50.500;1628
 50.563;1569
 50.625;1542
 50.688;1616
 50.750;1687
 50.813;1633
 50.875;1625
 50.938;1447
 51.000;1408
 51.063;1398
 51.125;1403
 51.188;1416
 51.250;1408
 51.313;1411
 51.375;1391
 51.438;1389
 51.500;1447
 51.563;1472
 51.625;1677
 51.688;1743
 51.750;1704
 51.813;1701
 51.875;1733
 51.938;1765
 52.000;1730
 52.063;1679
 52.125;1665
 52.188;1574
 52.250;1508
 52.313;1452
 52.375;1464
 52.438;1479
 52.500;1489
 52.563;1450
 52.625;1425
 52.688;1430
 52.750;1403
 52.813;1372
 52.875;1376
 52.938;1428
 53.000;1435
 53.063;1442
 53.125;1447
 53.188;1447
 53.250;1455
 53.313;1472
 53.375;1435
 53.438;1413
 53.500;1430
 53.563;1469
 53.625;1499
 53.688;1503
 53.750;1496
 53.813;1496
 53.875;1516
 53.938;1655
 54.000;1706
 54.063;1765
 54.125;1713
 54.188;1689
 54.250;1672
 54.313;1643
 54.375;1584
 54.438;1538
 54.500;1513
 54.563;1494
 54.625;1455
 54.688;1442
 54.750;1435
 54.813;1435
 54.875;1418
 54.938;1420
 55.000;1445
 55.063;1457
 55.125;1564
 55.188;1694
 55.250;1503
 55.313;1455
 55.375;1457
 55.438;1450
 55.500;1442
 55.563;1455
 55.625;1447
