Frequency[MHz];Amplitude RX1[mV] at pwm=120
 45.000;2133
 45.063;1628
 45.125;1525
 45.188;1574
 45.250;1577
 45.313;1638
 45.375;1770
 45.438;2009
 45.500;1892
 45.563;1618
 45.625;1672
 45.688;1772
 45.750;1765
 45.813;1779
 45.875;1794
 45.938;1752
 46.000;1774
 46.063;1767
 46.125;1757
 46.188;1774
 46.250;1752
 46.313;1799
 46.375;1772
 46.438;1794
 46.500;1782
 46.563;1770
 46.625;1791
 46.688;1772
 46.750;1811
 46.813;1767
 46.875;1779
 46.938;1818
 47.000;1804
 47.063;1848
 47.125;1838
 47.188;1901
 47.250;1928
 47.313;1911
 47.375;1860
 47.438;1857
 47.500;1823
 47.563;1823
 47.625;1818
 47.688;1809
 47.750;1848
 47.813;1855
 47.875;1843
 47.938;1850
 48.000;1818
 48.063;1831
 48.125;1787
 48.188;1784
 48.250;1782
 48.313;1799
 48.375;1862
 48.438;1882
 48.500;1894
 48.563;1840
 48.625;1831
 48.688;1826
 48.750;1784
 48.813;1804
 48.875;1799
 48.938;1855
 49.000;1860
 49.063;1879
 49.125;1857
 49.188;1857
 49.250;1884
 49.313;1879
 49.375;1875
 49.438;1845
 49.500;1872
 49.563;1882
 49.625;1882
 49.688;2016
 49.750;2272
 49.813;2297
 49.875;2307
 49.938;2270
 50.000;2236
 50.063;2204
 50.125;2011
 50.188;1921
 50.250;1938
 50.313;1904
 50.375;1943
 50.438;1955
 50.500;1936
 50.563;1975
 50.625;1921
 50.688;1933
 50.750;1906
 50.813;1892
 50.875;1906
 50.938;1894
 51.000;1943
 51.063;1923
 51.125;1923
 51.188;1911
 51.250;1933
 51.313;1926
 51.375;1877
 51.438;1887
 51.500;1848
 51.563;1853
 51.625;1850
 51.688;1865
 51.750;1889
 51.813;1914
 51.875;1906
 51.938;1894
 52.000;1909
 52.063;1894
 52.125;1894
 52.188;1875
 52.250;1855
 52.313;1879
 52.375;1887
 52.438;1882
 52.500;1914
 52.563;1916
 52.625;1953
 52.688;1931
 52.750;1918
 52.813;1909
 52.875;1894
 52.938;1879
 53.000;1896
 53.063;1892
 53.125;1892
 53.188;1879
 53.250;1889
 53.313;1879
 53.375;1906
 53.438;1914
 53.500;1931
 53.563;1955
 53.625;1950
 53.688;1926
 53.750;1923
 53.813;1928
 53.875;1928
 53.938;1979
 54.000;1975
 54.063;1977
 54.125;2006
 54.188;1984
 54.250;1984
 54.313;1953
 54.375;1938
 54.438;1928
 54.500;1936
 54.563;1926
 54.625;1899
 54.688;1933
 54.750;1918
 54.813;1921
 54.875;1923
 54.938;1921
 55.000;1938
 55.063;1933
 55.125;1931
 55.188;1970
 55.250;1994
 55.313;1992
 55.375;1965
 55.438;1938
 55.500;1931
 55.563;1916
 55.625;1909
 55.688;1911
 55.750;1921
 55.813;1975
 55.875;1972
 55.938;1997
 56.000;2019
 56.063;1970
 56.125;1975
 56.188;1958
 56.250;1950
 56.313;1931
 56.375;1911
 56.438;1923
 56.500;1938
 56.563;1955
 56.625;1943
 56.688;1967
 56.750;1972
 56.813;1965
 56.875;1926
 56.938;1901
 57.000;1901
 57.063;1892
 57.125;1904
 57.188;1894
 57.250;1892
 57.313;1896
 57.375;1889
 57.438;1899
 57.500;1899
 57.563;1884
 57.625;1892
 57.688;1867
 57.750;1867
 57.813;1870
 57.875;1857
 57.938;1865
 58.000;1862
 58.063;1867
 58.125;1865
 58.188;1862
 58.250;1877
 58.313;1894
 58.375;1884
 58.438;1896
 58.500;1892
 58.563;1904
 58.625;1923
 58.688;1923
 58.750;1911
 58.813;1911
 58.875;1889
 58.938;1894
 59.000;1870
 59.063;1875
 59.125;1862
 59.188;1887
 59.250;1879
 59.313;1894
 59.375;1882
 59.438;1879
 59.500;1887
 59.563;1865
 59.625;1916
 59.688;1918
 59.750;1940
 59.813;1940
 59.875;1965
 59.938;2075
 60.000;2124
 60.063;2065
 60.125;2033
 60.188;1938
 60.250;1940
 60.313;1877
 60.375;1862
 60.438;1843
 60.500;1838
 60.563;1816
 60.625;1826
 60.688;1840
 60.750;1860
 60.813;1860
 60.875;1872
 60.938;1853
 61.000;1845
 61.063;1838
 61.125;1840
 61.188;1862
 61.250;1884
 61.313;1877
 61.375;1867
 61.438;1855
 61.500;1855
 61.563;1867
 61.625;1855
 61.688;1867
 61.750;1838
 61.813;1877
 61.875;1882
 61.938;1921
 62.000;1931
 62.063;1904
 62.125;1938
