Frequency[MHz];Amplitude RX1[mV] at pwm=100
 45.000;847
 45.063;1303
 45.125;1137
 45.188;1137
 45.250;1140
 45.313;1142
 45.375;1127
 45.438;1132
 45.500;1152
 45.563;1137
 45.625;1142
 45.688;1186
 45.750;1166
 45.813;1171
 45.875;1218
 45.938;1179
 46.000;1198
 46.063;1206
 46.125;1208
 46.188;1188
 46.250;1213
 46.313;1218
 46.375;1186
 46.438;1186
 46.500;1198
 46.563;1162
 46.625;1149
 46.688;1184
 46.750;1137
 46.813;1149
 46.875;1174
 46.938;1152
 47.000;1137
 47.063;1159
 47.125;1137
 47.188;1147
 47.250;1154
 47.313;1145
 47.375;1125
 47.438;1135
 47.500;1132
 47.563;1132
 47.625;1120
 47.688;1110
 47.750;1137
 47.813;1125
 47.875;1130
 47.938;1147
 48.000;1140
 48.063;1149
 48.125;1132
 48.188;1132
 48.250;1142
 48.313;1159
 48.375;1154
 48.438;1157
 48.500;1162
 48.563;1162
 48.625;1174
 48.688;1174
 48.750;1181
 48.813;1181
 48.875;1198
 48.938;1188
 49.000;1186
 49.063;1208
 49.125;1206
 49.188;1188
 49.250;1193
 49.313;1193
 49.375;1169
 49.438;1184
 49.500;1191
 49.563;1188
 49.625;1184
 49.688;1201
 49.750;1188
 49.813;1191
 49.875;1215
 49.938;1232
 50.000;1264
 50.063;1289
 50.125;1245
 50.188;1252
 50.250;1242
 50.313;1203
 50.375;1196
 50.438;1193
 50.500;1206
 50.563;1186
 50.625;1196
 50.688;1198
 50.750;1196
 50.813;1191
 50.875;1196
 50.938;1191
 51.000;1184
 51.063;1206
 51.125;1198
 51.188;1191
 51.250;1193
 51.313;1201
 51.375;1191
 51.438;1181
 51.500;1181
 51.563;1196
 51.625;1181
 51.688;1181
 51.750;1181
 51.813;1179
 51.875;1193
 51.938;1186
 52.000;1184
 52.063;1174
 52.125;1159
 52.188;1162
 52.250;1176
 52.313;1181
 52.375;1181
 52.438;1174
 52.500;1171
 52.563;1188
 52.625;1186
 52.688;1196
 52.750;1176
 52.813;1179
 52.875;1166
 52.938;1159
 53.000;1152
 53.063;1162
 53.125;1152
 53.188;1137
 53.250;1123
 53.313;1123
 53.375;1135
 53.438;1137
 53.500;1142
 53.563;1145
 53.625;1125
 53.688;1135
 53.750;1127
 53.813;1147
 53.875;1240
 53.938;1499
 54.000;1579
 54.063;1613
 54.125;1589
 54.188;1569
 54.250;1520
 54.313;1364
 54.375;1191
 54.438;1105
 54.500;1101
 54.563;1101
 54.625;1115
 54.688;1118
 54.750;1118
 54.813;1103
 54.875;1120
 54.938;1105
 55.000;1105
 55.063;1120
 55.125;1103
 55.188;1101
 55.250;1108
 55.313;1123
 55.375;1145
 55.438;1135
 55.500;1115
 55.563;1115
 55.625;1103
 55.688;1108
