Frequency[MHz];Amplitude RX1[mV] at pwm=100
 45.000;1225
 45.063;1196
 45.125;1186
 45.188;1179
 45.250;1169
 45.313;1166
 45.375;1174
 45.438;1179
 45.500;1181
 45.563;1184
 45.625;1147
 45.688;1174
 45.750;1147
 45.813;1140
 45.875;1123
 45.938;1110
 46.000;1113
 46.063;1110
 46.125;1113
 46.188;1110
 46.250;1113
 46.313;1115
 46.375;1118
 46.438;1115
 46.500;1113
 46.563;1115
 46.625;1110
 46.688;1108
 46.750;1115
 46.813;1127
 46.875;1120
 46.938;1113
 47.000;1123
 47.063;1125
 47.125;1123
 47.188;1127
 47.250;1115
 47.313;1120
 47.375;1130
 47.438;1123
 47.500;1115
 47.563;1130
 47.625;1135
 47.688;1130
 47.750;1140
 47.813;1123
 47.875;1135
 47.938;1135
 48.000;1140
 48.063;1130
 48.125;1125
 48.188;1140
 48.250;1137
 48.313;1132
 48.375;1120
 48.438;1125
 48.500;1137
 48.563;1130
 48.625;1142
 48.688;1132
 48.750;1123
 48.813;1120
 48.875;1127
 48.938;1137
 49.000;1135
 49.063;1130
 49.125;1140
 49.188;1130
 49.250;1127
 49.313;1132
 49.375;1130
 49.438;1130
 49.500;1140
 49.563;1135
 49.625;1127
 49.688;1127
 49.750;1127
 49.813;1127
 49.875;1137
 49.938;1123
 50.000;1140
 50.063;1132
 50.125;1140
 50.188;1132
 50.250;1135
 50.313;1130
 50.375;1135
 50.438;1132
 50.500;1120
 50.563;1132
 50.625;1137
 50.688;1125
 50.750;1127
 50.813;1132
 50.875;1130
 50.938;1127
 51.000;1132
 51.063;1127
 51.125;1130
 51.188;1137
 51.250;1130
 51.313;1135
 51.375;1135
 51.438;1130
 51.500;1142
 51.563;1130
 51.625;1132
 51.688;1125
 51.750;1132
 51.813;1130
 51.875;1137
 51.938;1120
 52.000;1123
 52.063;1127
 52.125;1127
 52.188;1127
 52.250;1127
 52.313;1123
 52.375;1140
 52.438;1140
 52.500;1132
 52.563;1135
 52.625;1123
 52.688;1123
 52.750;1127
 52.813;1123
 52.875;1123
 52.938;1127
 53.000;1120
 53.063;1123
 53.125;1120
 53.188;1137
 53.250;1132
 53.313;1132
 53.375;1130
 53.438;1123
 53.500;1127
 53.563;1132
 53.625;1127
 53.688;1130
 53.750;1113
 53.813;1123
 53.875;1125
 53.938;1130
 54.000;1130
 54.063;1115
 54.125;1120
 54.188;1127
 54.250;1130
 54.313;1127
 54.375;1130
 54.438;1125
 54.500;1123
 54.563;1132
 54.625;1130
 54.688;1127
 54.750;1123
 54.813;1125
 54.875;1123
 54.938;1130
 55.000;1132
 55.063;1125
 55.125;1123
 55.188;1145
 55.250;1152
 55.313;1166
 55.375;1152
 55.438;1140
 55.500;1137
 55.563;1135
 55.625;1127
 55.688;1132
 55.750;1125
 55.813;1130
 55.875;1127
 55.938;1140
 56.000;1123
 56.063;1135
 56.125;1137
 56.188;1125
 56.250;1120
 56.313;1115
 56.375;1132
 56.438;1132
 56.500;1127
 56.563;1132
 56.625;1123
 56.688;1127
 56.750;1135
 56.813;1135
 56.875;1127
 56.938;1130
 57.000;1127
 57.063;1120
 57.125;1130
 57.188;1127
 57.250;1130
 57.313;1137
 57.375;1132
 57.438;1130
 57.500;1132
 57.563;1132
 57.625;1125
 57.688;1132
 57.750;1135
 57.813;1132
 57.875;1130
 57.938;1152
 58.000;1130
 58.063;1125
 58.125;1135
 58.188;1130
 58.250;1118
 58.313;1135
 58.375;1142
 58.438;1142
 58.500;1132
 58.563;1123
 58.625;1137
 58.688;1127
 58.750;1130
 58.813;1125
 58.875;1137
 58.938;1127
 59.000;1130
 59.063;1132
 59.125;1132
 59.188;1127
 59.250;1132
 59.313;1140
 59.375;1135
 59.438;1120
 59.500;1130
 59.563;1135
 59.625;1140
 59.688;1135
 59.750;1130
 59.813;1137
 59.875;1130
 59.938;1132
 60.000;1140
 60.063;1137
 60.125;1135
 60.188;1130
 60.250;1132
 60.313;1137
 60.375;1127
 60.438;1137
 60.500;1127
 60.563;1137
 60.625;1149
 60.688;1140
 60.750;1142
 60.813;1147
 60.875;1135
 60.938;1137
 61.000;1147
 61.063;1140
 61.125;1132
 61.188;1127
 61.250;1142
 61.313;1135
 61.375;1137
 61.438;1140
 61.500;1132
 61.563;1149
 61.625;1142
 61.688;1145
 61.750;1140
 61.813;1132
 61.875;1142
 61.938;1152
 62.000;1135
 62.063;1145
 62.125;1142
 62.188;1140
 62.250;1132
 62.313;1149
 62.375;1137
 62.438;1149
 62.500;1149
 62.563;1145
 62.625;1142
 62.688;1149
 62.750;1132
 62.813;1149
 62.875;1147
 62.938;1142
 63.000;1152
 63.063;1140
 63.125;1142
 63.188;1137
 63.250;1135
 63.313;1145
 63.375;1147
 63.438;1157
 63.500;1152
 63.563;1149
 63.625;1149
 63.688;1149
 63.750;1154
 63.813;1147
 63.875;1147
 63.938;1149
 64.000;1147
 64.063;1152
 64.125;1145
 64.188;1152
 64.250;1154
 64.313;1145
 64.375;1140
 64.438;1152
 64.500;1147
 64.563;1140
 64.625;1157
 64.688;1152
 64.750;1152
 64.813;1157
 64.875;1152
 64.938;1157
 65.000;1157
 65.063;1147
 65.125;1140
 65.188;1164
 65.250;1154
 65.313;1152
 65.375;1147
 65.438;1157
 65.500;1157
 65.563;1147
 65.625;1159
 65.688;1147
 65.750;1164
 65.813;1152
 65.875;1147
 65.938;1159
 66.000;1154
 66.063;1157
 66.125;1147
 66.188;1145
 66.250;1166
 66.313;1252
 66.375;1311
 66.438;1264
 66.500;1237
 66.563;1210
 66.625;1188
 66.688;1174
 66.750;1164
 66.813;1149
 66.875;1157
 66.938;1162
 67.000;1162
 67.063;1159
 67.125;1154
 67.188;1149
 67.250;1152
 67.313;1152
 67.375;1142
 67.438;1162
 67.500;1162
